,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHO,Deandre Ayton,Arizona,6,312,9568,5149,3262,506,0.596,0.263,0.756,30.7,16.5,10.5,1.6,31.6,0.159,1,7.3
2,2,SAC,Marvin Bagley III,Duke,6,219,5363,2875,1546,201,0.508,0.289,0.688,24.5,13.1,7.1,0.9,9.9,0.088,-1.8,0.2
3,3,ATL,Luka Don?i?,,6,340,11677,9426,2909,2716,0.468,0.341,0.74,34.3,27.7,8.6,8,41.1,0.169,7.3,27.4
4,4,MEM,Jaren Jackson Jr.,Michigan State,6,277,7624,4596,1541,323,0.466,0.351,0.792,27.5,16.6,5.6,1.2,20.2,0.127,0.7,5.2
5,5,DAL,Trae Young,Oklahoma,6,362,12263,9210,1328,3377,0.435,0.35,0.876,33.9,25.4,3.7,9.3,33.7,0.132,3,15.5
6,6,ORL,Mo Bamba,Texas,6,279,4971,2072,1603,247,0.476,0.359,0.683,17.8,7.4,5.7,0.9,12.6,0.122,0.2,2.7
7,7,CHI,Wendell Carter Jr.,Duke,6,265,7430,3391,2343,544,0.514,0.321,0.73,28,12.8,8.8,2.1,18.3,0.118,-0.4,3
8,8,CLE,Collin Sexton,Alabama,6,276,8512,5163,789,885,0.464,0.379,0.827,30.8,18.7,2.9,3.2,8.1,0.046,-2.3,-0.8
9,9,NYK,Kevin Knox,Kentucky,6,276,4986,2071,804,206,0.387,0.344,0.713,18.1,7.5,2.9,0.7,0.5,0.005,-4.4,-3
10,10,PHI,Mikal Bridges,Villanova,6,402,12969,5356,1639,949,0.494,0.372,0.857,32.3,13.3,4.1,2.4,32.8,0.121,1.2,10.4
11,11,CHO,Shai Gilgeous-Alexander,Kentucky,6,320,10461,6821,1480,1466,0.485,0.346,0.846,32.7,21.3,4.6,4.6,30.5,0.14,3.3,13.9
12,12,LAC,Miles Bridges,Michigan State,4,291,8460,3893,1641,656,0.473,0.346,0.809,29.1,13.4,5.6,2.3,16,0.091,-0.2,3.8
13,13,LAC,Jerome Robinson,Boston College,4,114,1609,514,210,131,0.362,0.31,0.721,14.1,4.5,1.8,1.1,-0.1,-0.003,-4.7,-1.1
14,14,DEN,Michael Porter Jr.,Missouri,5,197,5174,3012,1186,216,0.504,0.414,0.801,26.3,15.3,6,1.1,15,0.139,1.4,4.4
15,15,WAS,Troy Brown Jr.,Oregon,6,303,5986,1961,1154,450,0.429,0.352,0.777,19.8,6.5,3.8,1.5,7.9,0.063,-1.7,0.4
16,16,PHO,Zhaire Smith,Texas Tech,2,13,143,48,15,12,0.378,0.316,0.667,11,3.7,1.2,0.9,0,0.011,-6.1,-0.1
17,17,MIL,Donte DiVincenzo,Villanova,6,282,6822,2554,1286,773,0.419,0.361,0.77,24.2,9.1,4.6,2.7,13.7,0.096,0.1,3.6
18,18,SAS,Lonnie Walker IV,Miami (FL),6,273,5729,2745,628,414,0.425,0.353,0.799,21,10.1,2.3,1.5,4.4,0.037,-2.5,-0.7
19,19,ATL,Kevin Huerter,Maryland,6,357,10542,4357,1253,1113,0.442,0.383,0.767,29.5,12.2,3.5,3.1,14.6,0.066,-0.9,3.1
20,20,MIN,Josh Okogie,Georgia Tech,6,326,6604,2157,998,395,0.401,0.288,0.754,20.3,6.6,3.1,1.2,8.7,0.063,-2.3,-0.6
21,21,UTA,Grayson Allen,Duke,6,274,6484,2678,780,477,0.437,0.398,0.864,23.7,9.8,2.8,1.7,13.8,0.102,-0.5,2.4
22,22,CHI,Chandler Hutchison,Boise State,4,103,1790,558,376,79,0.442,0.309,0.643,17.4,5.4,3.7,0.8,1.1,0.03,-3.9,-0.9
23,23,IND,Aaron Holiday,UCLA,6,315,5415,2079,519,686,0.413,0.376,0.842,17.2,6.6,1.6,2.2,5.7,0.051,-2.3,-0.4
24,24,POR,Anfernee Simons,,6,274,6573,3468,619,677,0.433,0.387,0.858,24,12.7,2.3,2.5,6.6,0.048,-1.8,0.3
25,25,LAL,Moritz Wagner,Michigan,6,262,4240,2185,981,307,0.497,0.32,0.822,16.2,8.3,3.7,1.2,10.1,0.114,-0.7,1.3
26,26,PHI,Landry Shamet,Wichita State,6,307,6981,2742,547,523,0.407,0.388,0.84,22.7,8.9,1.8,1.7,11.9,0.082,-1.8,0.4
27,27,BOS,Robert Williams,Texas A&M,6,215,4403,1575,1485,304,0.729,0,0.66,20.5,7.3,6.9,1.4,22.7,0.247,4.8,7.5
28,28,GSW,Jacob Evans,Cincinnati,2,59,622,168,66,54,0.337,0.315,0.833,10.5,2.8,1.1,0.9,-0.6,-0.047,-7.4,-0.8
29,29,BRK,Džanan Musa,,2,49,526,211,91,45,0.376,0.227,0.726,10.7,4.3,1.9,0.9,0,0.003,-4.6,-0.4
30,30,ATL,Omari Spellman,Villanova,2,95,1691,642,413,94,0.417,0.366,0.766,17.8,6.8,4.3,1,2.4,0.068,-1.5,0.2
31,31,PHO,Elie Okobo,,2,108,1677,523,188,242,0.395,0.315,0.737,15.5,4.8,1.7,2.2,0.5,0.014,-4.1,-0.9
32,32,MEM,Jevon Carter,West Virginia,6,314,5102,1708,594,529,0.403,0.401,0.805,16.2,5.4,1.9,1.7,8.1,0.076,-0.9,1.4
