,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
33,33,DAL,Jalen Brunson,Villanova,6,354,9517,5119,1114,1494,0.49,0.388,0.813,26.9,14.5,3.1,4.2,26.8,0.135,1,7.3
34,34,ATL,Devonte' Graham,Kansas,6,314,8058,3621,723,1400,0.372,0.356,0.813,25.7,11.5,2.3,4.5,12.6,0.075,-0.3,3.3
35,35,ORL,Melvin Frazier,Tulane,3,32,290,87,28,5,0.34,0.209,0.533,9.1,2.7,0.9,0.2,-0.4,-0.062,-10,-0.6
36,36,NYK,Mitchell Robinson,,6,298,7327,2438,2383,185,0.706,,0.526,24.6,8.2,8,0.6,32.5,0.213,2.2,7.9
37,37,SAC,Gary Trent Jr.,Duke,6,278,8028,3983,647,400,0.419,0.383,0.816,28.9,14.3,2.3,1.4,14,0.084,-0.7,2.5
38,38,PHI,Khyri Thomas,Creighton,3,39,409,160,39,36,0.388,0.316,0.75,10.5,4.1,1,0.9,0.5,0.058,-2.7,-0.1
39,39,PHI,Isaac Bonga,,4,143,1871,439,320,118,0.432,0.3,0.759,13.1,3.1,2.2,0.8,1.7,0.044,-3.6,-0.7
40,40,BRK,Rodions Kurucs,,3,131,2103,780,406,113,0.444,0.329,0.739,16.1,6,3.1,0.9,2.3,0.052,-2.8,-0.4
41,41,ORL,Jarred Vanderbilt,Kentucky,5,244,5013,1511,1606,359,0.573,0.288,0.643,20.5,6.2,6.6,1.5,14.3,0.137,0.4,3
42,42,DET,Bruce Brown,Miami (FL),6,359,8899,3089,1526,868,0.481,0.344,0.75,24.8,8.6,4.3,2.4,17.4,0.094,-0.9,2.5
43,43,DEN,Justin Jackson,Maryland,,,,,,,,,,,,,,,,,
44,44,WAS,Issuf Sanon,,,,,,,,,,,,,,,,,,
45,45,BRK,Hamidou Diallo,Kentucky,5,263,4913,2270,1007,282,0.495,0.274,0.623,18.7,8.6,3.8,1.1,6.2,0.06,-2.1,-0.2
46,46,HOU,De'Anthony Melton,USC,6,321,7251,2821,1185,896,0.411,0.369,0.767,22.6,8.8,3.7,2.8,12.2,0.081,0.5,4.6
47,47,LAL,Svi Mykhailiuk,Kansas,6,257,4246,1681,452,352,0.402,0.359,0.764,16.5,6.5,1.8,1.4,3.3,0.037,-2.5,-0.5
48,48,MIN,Keita Bates-Diop,Ohio State,6,237,4056,1547,768,212,0.478,0.339,0.744,17.1,6.5,3.2,0.9,6.5,0.077,-1.7,0.3
49,49,SAS,Chimezie Metu,USC,6,213,2716,1194,716,152,0.491,0.296,0.757,12.8,5.6,3.4,0.7,4.1,0.073,-1.8,0.2
50,50,IND,Alize Johnson,Missouri State,5,76,568,189,228,32,0.481,0.227,0.711,7.5,2.5,3,0.4,1.3,0.108,-2.4,-0.1
51,51,NOP,Tony Carr,Penn State,,,,,,,,,,,,,,,,,
52,52,UTA,Vince Edwards,Purdue,1,2,16,3,2,0,0.25,0.25,,8,1.5,1,0,0,-0.014,-6.4,0
53,53,OKC,Devon Hall,Virginia,1,11,81,20,7,13,0.2,0.235,0.5,7.4,1.8,0.6,1.2,-0.2,-0.116,-6.7,-0.1
54,54,DAL,Shake Milton,SMU,6,263,5414,2411,619,704,0.454,0.364,0.824,20.6,9.2,2.4,2.7,9.9,0.088,-1.9,0.1
55,55,CHO,Arnoldas Kulboka,,1,2,5,0,0,0,0,0,,2.5,0,0,0,0,-0.217,-21.8,0
56,56,PHI,Ray Spalding,Louisville,2,16,167,58,52,5,0.529,0,0.286,10.4,3.6,3.3,0.3,0.1,0.024,-6.2,-0.2
57,57,OKC,Kevin Hervey,UT Arlington,1,10,52,17,12,5,0.259,0.15,,5.2,1.7,1.2,0.5,-0.1,-0.085,-5.1,0
58,58,DEN,Thomas Welsh,UCLA,1,11,36,18,4,5,0.538,0.429,0.5,3.3,1.6,0.4,0.5,0.1,0.162,1.2,0
59,59,PHO,George King,Colorado,2,5,25,1,6,0,0,0,0.5,5,0.2,1.2,0,-0.1,-0.225,-17.2,-0.1
60,60,PHI,Kostas Antetokounmpo,Dayton,3,22,87,21,23,3,0.375,,0.474,4,1,1,0.1,-0.2,-0.098,-9.9,-0.2
