win_share
0
36.5
6.2
2.8
-0.6
0.3
1.3
3.2
26.1
-0.2
44.7
-0.1
33.0
27.1
0.0
23.2
0.1
17.6
21.9
0.1
-0.2
9.8
16.9
1.1
8.2
21.1
0.6
3.0
24.7
32.2
22.1
4.5
37.4
7.7
49.5
39.5
1.2
14.4
11.0
12.8
13.8
7.2
28.2
26.5
20.2
14.3
45.9
30.6
48.1
33.2
7.8
59.3
33.4
0.5
22.9
40.4
70.6
-0.4
6.8
30.6
0.5
5.7
33.1
15.6
26.6
11.4
30.8
9.6
0.0
7.5
-0.4
15.5
33.5
16.4
12.8
22.7
39.4
23.0
42.2
0.4
0.5
0.1
22.6
12.9
32.3
10.0
6.6
20.8
10.0
25.8
15.9
34.6
0.0
18.3
7.7
0.0








