,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Markelle Fultz,Washington,7,196,5172,2317,676,984,0.472,0.275,0.734,26.4,11.8,3.4,5,7.5,0.07,-1.1,1.2
2,2,LAL,Lonzo Ball,UCLA,5,252,8187,2995,1447,1563,0.4,0.364,0.578,32.5,11.9,5.7,6.2,11.4,0.067,1.1,6.3
3,3,BOS,Jayson Tatum,Duke,7,448,15239,10114,3152,1480,0.46,0.376,0.845,34,22.6,7,3.3,47.2,0.149,3.4,20.6
4,4,PHO,Josh Jackson,Kansas,5,291,6718,3276,1159,534,0.416,0.292,0.68,23.1,11.3,4,1.8,-1.7,-0.012,-3.8,-3.1
5,5,SAC,De'Aaron Fox,Kentucky,7,398,12867,8068,1457,2470,0.473,0.322,0.737,32.3,20.3,3.7,6.2,23.5,0.088,0.6,8.3
6,6,ORL,Jonathan Isaac,Florida State,5,154,3726,1363,809,154,0.431,0.329,0.788,24.2,8.9,5.3,1,7.3,0.094,0.3,2.2
7,7,MIN,Lauri Markkanen,Arizona,7,358,10997,6272,2560,493,0.456,0.374,0.859,30.7,17.5,7.2,1.4,26,0.114,0.9,7.9
8,8,NYK,Frank Ntilikina,,6,316,5411,1530,557,689,0.371,0.323,0.76,17.1,4.8,1.8,2.2,0.4,0.004,-4.4,-3.2
9,9,DAL,Dennis Smith Jr.,NC State,7,279,6693,2844,823,1203,0.403,0.3,0.67,24,10.2,2.9,4.3,0.7,0.005,-2.3,-0.6
10,10,SAC,Zach Collins,Gonzaga,6,255,4932,1970,1229,420,0.481,0.337,0.748,19.3,7.7,4.8,1.6,7.6,0.074,-1.6,0.5
11,11,CHO,Malik Monk,Kentucky,7,394,8206,4332,940,970,0.429,0.356,0.848,20.8,11,2.4,2.5,9.3,0.054,-1.4,1.3
12,12,DET,Luke Kennard,Duke,7,363,8454,3578,1025,710,0.454,0.436,0.88,23.3,9.9,2.8,2,18,0.102,-0.2,3.9
13,13,DEN,Donovan Mitchell,Louisville,7,421,14356,10392,1763,1887,0.449,0.365,0.841,34.1,24.7,4.2,4.5,39.1,0.131,3.2,18.9
14,14,MIA,Bam Adebayo,Kentucky,7,427,12575,6355,3632,1463,0.553,0.141,0.757,29.4,14.9,8.5,3.4,43.9,0.168,2.7,14.8
15,15,POR,Justin Jackson,UNC,6,278,4885,1676,654,285,0.423,0.319,0.796,17.6,6,2.4,1,5.3,0.052,-2.8,-1
16,16,CHI,Justin Patton,Creighton,4,22,296,86,60,19,0.404,0.25,0.667,13.5,3.9,2.7,0.9,0.4,0.066,-2.8,-0.1
17,17,MIL,D.J. Wilson,Michigan,5,146,1803,647,452,108,0.419,0.327,0.618,12.3,4.4,3.1,0.7,2.8,0.075,-2.6,-0.3
18,18,IND,T.J. Leaf,UCLA,4,146,1238,477,283,43,0.492,0.341,0.585,8.5,3.3,1.9,0.3,2.7,0.104,-1.8,0.1
19,19,ATL,John Collins,Wake Forest,7,374,10929,5918,2983,549,0.55,0.358,0.781,29.2,15.8,8,1.5,33,0.145,0.8,7.8
