,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
20,20,POR,Harry Giles,Duke,4,143,1841,839,544,174,0.514,0.281,0.671,12.9,5.9,3.8,1.2,3,0.079,-2.3,-0.2
21,21,OKC,Terrance Ferguson,,4,204,4000,924,263,144,0.404,0.334,0.753,19.6,4.5,1.3,0.7,4.4,0.053,-4,-2.1
22,22,BRK,Jarrett Allen,Texas,7,413,11386,4962,3657,588,0.629,0.181,0.705,27.6,12,8.9,1.4,44.9,0.189,1.9,11.1
23,23,TOR,OG Anunoby,Indiana,7,376,10697,4399,1610,574,0.473,0.376,0.74,28.4,11.7,4.3,1.5,22.8,0.102,0.2,6
24,24,UTA,Tyler Lydon,Syracuse,2,26,96,23,18,6,0.5,0.4,0.333,3.7,0.9,0.7,0.2,0.2,0.084,-4.3,-0.1
25,25,ORL,Anžejs Pase??iks,,2,28,443,156,108,19,0.521,0,0.586,15.8,5.6,3.9,0.7,0.4,0.038,-6.2,-0.5
26,26,POR,Caleb Swanigan,Purdue,3,75,655,169,218,56,0.438,0.118,0.614,8.7,2.3,2.9,0.7,-0.2,-0.015,-6.2,-0.7
27,27,BRK,Kyle Kuzma,Utah,7,415,12903,6900,2637,1025,0.449,0.337,0.726,31.1,16.6,6.4,2.5,15.4,0.057,-1.1,3
28,28,LAL,Tony Bradley,UNC,6,179,1994,792,729,90,0.631,0.5,0.681,11.1,4.4,4.1,0.5,7.5,0.181,0.2,1.1
29,29,SAS,Derrick White,Colorado,7,352,9335,4141,1185,1359,0.448,0.353,0.844,26.5,11.8,3.4,3.9,23.7,0.122,1.5,8.4
30,30,UTA,Josh Hart,Villanova,7,381,10767,3716,2350,926,0.463,0.348,0.742,28.3,9.8,6.2,2.4,22.2,0.099,-0.1,5.2
31,31,CHO,Frank Jackson,Duke,5,214,3873,1816,392,222,0.421,0.332,0.786,18.1,8.5,1.8,1,2.5,0.031,-3.9,-1.9
32,32,PHO,Davon Reed,Miami (FL),4,122,1299,373,212,92,0.408,0.385,0.667,10.6,3.1,1.7,0.8,1.5,0.054,-2.9,-0.3
33,33,ORL,Wes Iwundu,Kansas State,5,226,3827,989,555,208,0.408,0.292,0.798,16.9,4.4,2.5,0.9,4.2,0.053,-3.9,-1.8
34,34,SAC,Frank Mason III,Kansas,4,103,1616,695,204,272,0.396,0.301,0.755,15.7,6.7,2,2.6,1.2,0.035,-2.6,-0.3
35,35,ORL,Ivan Rabb,California,2,85,1237,485,364,86,0.555,0.2,0.743,14.6,5.7,4.3,1,3.2,0.125,-1.7,0.1
36,36,PHI,Jonah Bolden,,2,51,686,217,174,40,0.486,0.34,0.484,13.5,4.3,3.4,0.8,1.4,0.098,-1.3,0.1
37,37,BOS,Semi Ojeleye,SMU,5,284,4111,975,613,126,0.384,0.344,0.717,14.5,3.4,2.2,0.4,5.2,0.061,-3.4,-1.5
38,38,CHI,Jordan Bell,Oregon,5,161,1937,593,497,201,0.552,0.2,0.636,12,3.7,3.1,1.2,4.9,0.121,0.2,1.1
39,39,PHI,Jawun Evans,Oklahoma State,2,56,843,237,96,110,0.345,0.263,0.776,15.1,4.2,1.7,2,-0.4,-0.022,-5.4,-0.7
40,40,NOP,Dwayne Bacon,Florida State,4,207,4012,1503,537,230,0.402,0.314,0.78,19.4,7.3,2.6,1.1,0.8,0.01,-5.1,-3.1
41,41,ATL,Tyler Dorsey,Oregon,3,107,1680,710,245,135,0.392,0.351,0.669,15.7,6.6,2.3,1.3,1.1,0.031,-3,-0.5
42,42,UTA,Thomas Bryant,Indiana,7,238,4628,2362,1346,256,0.596,0.364,0.757,19.4,9.9,5.7,1.1,15.9,0.165,1.1,3.6
43,43,HOU,Isaiah Hartenstein,,6,256,4042,1426,1227,360,0.579,0.302,0.677,15.8,5.6,4.8,1.4,13.8,0.164,0.9,3
44,44,NYK,Damyean Dotson,Oregon,5,213,4242,1594,532,315,0.417,0.345,0.711,19.9,7.5,2.5,1.5,3,0.034,-2.8,-0.9
45,45,HOU,Dillon Brooks,Oregon,7,354,10166,5125,1111,753,0.418,0.345,0.796,28.7,14.5,3.1,2.1,7.7,0.036,-3.7,-4.5
46,46,PHI,Sterling Brown,SMU,6,268,4458,1431,891,268,0.419,0.363,0.796,16.6,5.3,3.3,1,6.6,0.071,-2.1,-0.1
47,47,IND,Ike Anigbogu,UCLA,2,14,36,13,12,1,0.333,,0.833,2.6,0.9,0.9,0.1,0,0.057,-1.1,0
48,48,MIL,Sindarius Thornwell,South Carolina,4,160,1721,401,206,111,0.407,0.34,0.672,10.8,2.5,1.3,0.7,1.1,0.032,-3.1,-0.5
49,49,DEN,Vlatko ?an?ar,,4,130,1391,461,219,114,0.479,0.361,0.847,10.7,3.5,1.7,0.9,2.5,0.087,-2.1,0
50,50,PHI,Mathias Lessort,,,,,,,,,,,,,,,,,,
51,51,DEN,Monte Morris,Iowa State,6,342,8761,3583,865,1368,0.481,0.392,0.83,25.6,10.5,2.5,4,22.7,0.124,0.4,5.3
52,52,NOP,Edmond Sumner,Xavier,5,161,2256,997,244,182,0.47,0.341,0.811,14,6.2,1.5,1.1,3.2,0.069,-3,-0.6
53,53,BOS,Kadeem Allen,Arizona,3,47,640,258,71,109,0.435,0.349,0.757,13.6,5.5,1.5,2.3,1,0.075,-1.2,0.1
54,54,PHO,Alec Peters,Valparaiso,1,20,225,82,37,12,0.378,0.31,0.8,11.3,4.1,1.9,0.6,0.3,0.055,-2.8,0
55,55,UTA,Nigel Williams-Goss,Gonzaga,1,10,50,14,6,6,0.313,0.286,1,5,1.4,0.6,0.6,0,0.017,-3.9,0
56,56,BOS,Jabari Bird,California,1,13,115,39,19,8,0.577,0.429,0.462,8.8,3,1.5,0.6,0.2,0.098,-3.1,0
57,57,BRK,Sasha Vezenkov,,1,7,94,39,14,2,0.405,0.32,1,13.4,5.6,2,0.3,0.1,0.068,-3.4,0
58,58,NYK,Ognjen Jaramaz,,,,,,,,,,,,,,,,,,
59,59,SAS,Jaron Blossomgame,Clemson,1,27,439,114,98,13,0.443,0.256,0.769,16.3,4.2,3.6,0.5,0.3,0.03,-3.8,-0.2
60,60,ATL,Alpha Kaba,,,,,,,,,,,,,,,,,,
