Player,FG%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,WS
Mo Bamba,0.541,0.681,10.5,0.5,0.8,3.7,1.5,2.5,12.9,4.8
Keita Bates-Diop,0.48,0.794,8.7,1.6,0.9,1.6,1.8,1.7,19.8,6.1
Kevon Looney,0.47,0.626,9.2,1.4,1.3,0.9,1.3,2.9,11.6,4.8
Monte Morris,0.465,0.802,4.8,6.2,1.5,0.3,1.2,1.5,16.4,6.5
Kris Dunn,0.474,0.686,5.5,7.5,2.7,0.3,4.2,3.1,15.6,4.8
Thomas Bryant,0.683,0.706,5.8,1,0.5,0.9,1.7,2.8,11.9,4.4
Josh Hart,0.51,0.747,6.4,2.9,1.6,0.3,2,2.3,18.7,7.7
Jahlil Okafor,0.664,0.51,8.5,1.3,0.8,1.4,2.5,2.1,17.3,6.7
Taurean Prince,0.472,0.644,5.6,1.3,1.5,0.9,2,2.1,13.9,4.5
Rondae Hollis-Jefferson,0.502,0.707,6.8,1.6,1.2,0.8,1.6,2.5,11.2,5.9
Kyle Anderson,0.48,0.737,8.8,6.5,1.8,0.8,3.1,1.7,14.6,5.6
Zach Collins,0.652,0.743,5.9,0.4,0.5,1.8,1.5,2.7,10,5
Robert Williams,0.632,0.471,9.2,1.4,0.8,2.6,1.7,2.2,10.4,3.5
Sterling Brown,0.459,0.791,6.5,3,1.4,0.5,2,2.6,13.4,6
Jevon Carter,0.422,0.858,4.6,6.6,3,0.4,2.6,3,17.3,7
Sterling Brown,0.459,0.791,6.5,3,1.4,0.5,2,2.6,13.4,6
Georges Niang,0.546,0.807,6.2,3.3,0.9,0.6,2.6,3.2,20.5,5.6
Grant Williams,0.564,0.819,7.5,3.2,1.1,1.5,2.2,3,18.8,7.9
Jerami Grant,0.496,0.674,6.8,1.4,0.8,0.6,1.2,2.3,12.1,4.6
OG Anunoby,0.557,0.563,5.4,1.4,1.3,1.3,1.6,2.1,11.1,1.7
Malik Monk,0.45,0.822,2.5,2.3,0.9,0.5,2,1.9,19.8,5.8
Jordan Mickey,0.504,0.646,9.9,1.3,0.9,3.6,3.3,2.6,15.4,3.9
Melvin Frazier,0.556,0.712,5.6,2.9,2.2,0.7,2.6,2,15.9,3.9
Dakari Johnson,0.506,0.625,4.6,0.7,0.4,0.9,1.1,1.8,6.4,3.6
Vince Edwards,0.476,0.833,7.4,2.9,0.5,0.6,2,1.8,14.6,5.4
R.J. Hunter,0.395,0.878,4.7,3.6,2.1,1,2.2,2.4,19.7,6.9
Marcus Paige,0.44,0.877,3.2,4.2,1.5,0.2,2.1,2,17.5,5.5
Zhaire Smith,0.556,0.717,5,1.8,1.1,1.1,1.1,1.8,11.3,5.6
Khyri Thomas,0.538,0.788,4.4,2.8,1.7,0.2,1.8,1.9,15.1,4.8
Kay Felder,0.44,0.848,4.3,9.3,2,0.2,3.4,3,24.4,7.6
Ray Spalding,0.543,0.64,8.7,1.3,1.5,1.7,1.7,3,12.3,4.8
Rakeem Christmas,0.552,0.712,9.1,1.5,0.9,2.5,2.5,3.4,17.5,5.4
Shake Milton,0.449,0.847,4.7,4.4,1.4,0.6,2.3,1.7,18,4.2
